loan_id,credit_score,dti_ratio,loan_amount,employment_length_yrs,default_event,months_to_event
1,704,0.2598206145679057,23244,6,0,27.0
2,673,0.24358917711233963,5757,1,0,29.0
3,712,0.3451790756019536,19603,1,0,27.0
4,756,0.4032831141426221,10046,3,0,25.0
5,668,0.31868469441346164,12380,4,0,36.0
6,668,0.35115437511704634,15380,5,0,36.0
7,758,0.22825957676935857,14044,2,0,22.0
8,718,0.26254048061391344,5000,0,0,26.0
9,656,0.398573207359964,26054,10,1,15.426613135357076
10,707,0.30267114602582285,24075,4,0,30.0
11,656,0.22579701242371844,13829,0,0,31.0
12,656,0.2532550554787375,22475,4,0,32.0
13,692,0.353715129030455,11818,8,0,34.0
14,584,0.3626227010324149,7142,5,0,27.0
15,593,0.16578688583802262,15435,4,0,21.0
16,651,0.28625912750468707,5648,2,1,15.120972711737732
17,629,0.2492157157446689,19872,5,0,21.0
18,695,0.24344641518962934,9379,7,0,26.0
19,634,0.3830307950430716,5000,0,1,13.164352137946484
20,609,0.2262461860106074,5000,1,0,23.0
21,753,0.19244228967248783,13983,9,0,33.0
22,668,0.16850086956314858,17565,7,0,36.0
23,683,0.23254530687943553,25701,7,0,29.0
24,608,0.17647537312218448,5000,3,0,36.0
25,652,0.16352182374609475,23073,6,0,31.0
26,685,0.16100298743329056,11102,3,0,25.0
27,622,0.16694572958932005,14506,2,0,34.0
28,698,0.17391676109826595,15046,1,0,17.0
29,649,0.2899052721658541,14916,0,0,23.0
30,665,0.0540017477392862,5000,2,0,34.0
31,649,0.17982467520164766,20726,5,0,23.0
32,772,0.23998700926417674,21676,8,0,25.0
33,679,0.3648624620178139,22653,6,0,36.0
34,627,0.2254072960923416,18899,8,0,33.0
35,721,0.2346676632117326,13343,0,0,22.0
36,618,0.241205329602188,5000,5,0,27.0
37,690,0.06763123462222737,18588,1,0,33.0
38,582,0.3159093100924931,15308,10,1,15.650530139861822
39,613,0.31174215702113744,14980,6,0,25.0
40,689,0.3314496159286673,18525,5,0,31.0
41,716,0.500584805302829,14639,8,1,14.223215450505949
42,688,0.120147839701279,11447,9,0,26.0
43,674,0.10119733353943262,5560,6,0,34.0
44,664,0.3205867314598988,14953,1,0,32.0
45,606,0.2162510898814308,26786,9,0,33.0
46,644,0.15143717464630593,6178,3,0,31.0
47,656,0.22174375321790304,23025,10,0,36.0
48,732,0.18816563749082788,20716,9,1,14.863716063146816
49,697,0.4224777067797167,5000,6,0,35.0
50,591,0.4761812304023302,19868,10,1,16.45528132461746
51,696,0.0864438708656534,15145,4,0,36.0
52,660,0.1023451186733363,14332,8,0,30.0
53,646,0.1740631995368093,30969,7,0,36.0
54,710,0.1810471958320988,22530,10,0,23.0
55,731,0.1724739553301581,7574,7,0,23.0
56,726,0.23057658204564863,20117,0,0,25.0
57,638,0.20531651992780595,7665,5,0,27.0
58,664,0.11463874071046819,8002,4,0,27.0
59,696,0.1473191759136019,16283,3,0,19.0
60,728,0.4046338832209564,24389,3,0,21.0
61,656,0.21425517532653168,5000,9,1,10.935055088651747
62,670,0.2091369108374011,10969,0,0,35.0
63,624,0.09795628541725267,24406,9,0,25.0
64,620,0.20367832726958343,7473,4,0,21.0
65,720,0.3460902429567583,15251,10,1,14.64748274997616
66,747,0.3095551478469406,12514,6,0,31.0
67,676,0.33110992979735565,25212,9,0,35.0
68,730,0.129640292392367,17550,0,0,24.0
69,698,0.12803823165961523,12610,0,0,36.0
70,647,0.3633435722174054,8307,9,1,9.854412531632645
71,698,0.3326274139867767,31840,6,0,28.0
72,756,0.22415372381843526,14393,2,0,25.0
73,678,0.33530402684490773,13189,1,0,36.0
74,758,0.1297003627746211,18994,0,0,15.0
75,549,0.1255531892202535,20750,5,0,26.0
76,721,0.08825388474852763,5000,5,0,25.0
77,684,0.2861470433003645,13479,1,0,31.0
78,665,0.2716717874438067,6421,4,0,27.0
79,684,0.19775834798190436,10483,9,0,36.0
80,580,0.17196073903884887,25187,6,0,19.0
81,669,0.4914548603862906,24227,8,1,12.31383099386734
82,697,0.22408690064116124,19710,10,0,35.0
83,753,0.38880670145339763,5000,3,0,25.0
84,654,0.23536515655505189,16493,1,0,33.0
85,639,0.19992872922113344,10395,2,0,36.0
86,654,0.391665950980639,22935,5,0,16.0
87,725,0.3289964120415997,10493,1,0,25.0
88,696,0.24758909770023502,8375,2,0,31.0
89,653,0.36337141117526117,17885,3,1,13.623417829397747
90,705,0.5020306516175237,24708,5,0,32.0
91,684,0.17676466334778446,23543,1,0,30.0
92,728,0.2971736646745251,25394,8,0,27.0
93,644,0.20907898362582525,25467,7,0,29.0
94,663,0.15654589792316978,28061,8,0,25.0
95,660,0.1537733213883867,16445,8,0,32.0
96,606,0.40923331460185985,11442,2,0,29.0
97,694,0.06752393926936545,8395,5,0,33.0
98,693,0.30078593584667956,24557,7,0,28.0
99,680,0.1674756922379766,13619,5,0,30.0
100,668,0.4272494951567994,7720,5,0,31.0
101,609,0.22269233510656727,19180,9,1,12.633295250542252
102,658,0.2135992326717734,5000,3,0,19.0
103,662,0.4069509304494237,6359,5,0,26.0
104,639,0.33768000823122146,16738,6,1,14.427477038450897
105,671,0.30542269843626707,22056,4,0,36.0
106,700,0.3305811955505784,12352,8,0,36.0
107,774,0.1416726411234257,13139,4,0,36.0
108,688,0.32417132055381365,21293,1,0,21.0
109,692,0.23009457858249818,21632,4,0,33.0
110,676,0.28609246991622594,5000,7,0,18.0
111,584,0.2984552926261292,26865,4,0,34.0
112,678,0.13894909167926928,12383,3,0,28.0
113,683,0.3093822595840829,9027,2,0,25.0
114,803,0.2313642710028624,11252,8,0,31.0
115,670,0.12600785540231302,5000,4,0,32.0
116,695,0.23534341934709585,35377,8,1,13.419169189695952
117,678,0.2520025114115174,5000,1,0,29.0
118,621,0.3093631891267962,5000,2,0,22.0
119,737,0.05,12907,5,0,30.0
120,717,0.28881362298766594,5000,1,0,35.0
121,719,0.1988139943164607,15976,7,0,27.0
122,634,0.3309873446410491,28133,5,1,15.908826326643938
123,750,0.24981338537157657,16321,7,0,34.0
124,609,0.2166618495645051,17710,1,0,27.0
125,709,0.23224996037237391,12672,6,0,31.0
126,789,0.28334097421911103,6672,2,0,33.0
127,630,0.3407909407671354,12661,10,1,12.89643977625753
128,651,0.16088887023249407,23436,4,0,21.0
129,684,0.2156340140567697,25860,7,0,36.0
130,654,0.39693460508186745,15332,0,0,25.0
131,602,0.21388883067130324,22019,0,0,25.0
132,683,0.2867249730815268,8801,9,0,31.0
133,626,0.12658080623137302,10078,0,0,20.0
134,703,0.07854927088365302,5000,8,0,33.0
135,634,0.14597951349520372,23873,10,0,27.0
136,757,0.18101079439823214,10392,1,0,30.0
137,640,0.3539911164047583,5000,3,0,31.0
138,663,0.36495262626873715,19011,6,0,34.0
139,720,0.05746796931045487,25746,4,0,33.0
140,618,0.19587548607081384,12030,5,0,26.0
141,691,0.3197789397040484,5000,6,0,36.0
142,745,0.23946468755687753,12408,9,0,32.0
143,599,0.40045584658174266,16912,3,0,30.0
144,689,0.3173500942131302,19763,8,1,16.067110882597603
145,692,0.22323148957111846,21214,5,0,22.0
146,719,0.23213306288709226,15607,0,0,20.0
147,618,0.24432101673951534,12930,9,1,16.84545754288582
148,613,0.16540426032390593,20485,8,0,26.0
149,706,0.3439214135649499,5000,9,1,13.424308992217512
150,694,0.32424288177415517,7249,7,0,29.0
151,692,0.29542707676524305,9182,9,0,26.0
152,697,0.2742574689356996,11465,2,0,28.0
153,645,0.1481802220966987,5000,9,0,24.0
154,691,0.30041931991417486,22777,6,0,36.0
155,694,0.2629102472664751,5302,5,0,24.0
156,644,0.4502269094974414,5000,0,0,28.0
157,773,0.12067089020853787,22892,7,0,27.0
158,703,0.17767046121107016,19124,6,0,29.0
159,620,0.09133554428828343,14514,4,0,36.0
160,712,0.22819802082329307,18746,7,0,36.0
161,631,0.0759100632004507,15869,1,0,36.0
162,719,0.36855016361685766,24308,3,0,27.0
163,737,0.35922373088701676,8852,4,0,21.0
164,638,0.23403680216093567,28880,8,1,16.40089811786727
165,728,0.14862782117696308,22581,2,0,35.0
166,700,0.09758974514407401,10148,2,0,36.0
167,721,0.17961353853595935,8872,10,0,32.0
168,774,0.31253713723408305,16171,3,0,27.0
169,667,0.17129473100101314,6010,9,0,36.0
170,642,0.44085761760067194,13356,6,1,15.069839106098364
171,635,0.39906954398981503,25767,0,0,36.0
172,639,0.25008239434044366,16459,1,0,30.0
173,676,0.20381317447981165,31754,10,0,24.0
174,697,0.19308041002535484,8840,3,0,15.0
175,693,0.40983767605260096,18618,8,1,13.855093807752231
176,721,0.18433046684427096,10740,8,0,27.0
177,680,0.34343689527333604,13343,0,1,9.308300717824627
178,752,0.2521792213068304,19002,5,0,31.0
179,666,0.3213562213924176,9130,8,0,21.0
180,816,0.16796027084312357,8103,2,0,32.0
181,711,0.21670814044782719,11272,6,0,35.0
182,637,0.24758174802963379,10695,2,0,21.0
183,626,0.18686333823294315,6921,7,0,30.0
184,704,0.37492241693744977,26557,5,1,16.119680745035943
185,668,0.17356918703339602,12569,0,0,30.0
